# elevation above see level [m] (first column)
# lake area  [m^2] (second column)
         0    4000000
         1    4230000
         2    4520000
         3    4870000
         4    5280000
         5    5750000
         6    6280000
         7    6870000
         8    7520000
         9    8230000
        10    9000000
        11    9830000
        12   10720000
        13   11670000
        14   12680000
        15   13750000
        16   14880000
        17   16070000
        18   17320000
        19   18630000
        20   20000000
        21   21430000
        22   22920000
